Product Name,Benefits of this Product
Welltus DX Syrup,"Treatment of Dry coughA dry cough, also known as non-productive cough, is a cough where no phlegm or mucus is produced. This is irritating, usually associated with a tickly throat and may be caused due to cold, flu, allergies or throat irritants. Welltus DX Syrup suppresses dry, hacking coughs. It will also relieve allergy symptoms like watery eyes, sneezing, runny nose or throat irritation and help you carry out your daily activities more easily. This medicine is safe and effective. Welltus DX Syrup usually starts to work within a few minutes and the effects can last up to several hours. Take it as prescribed by the doctor. Do not stop using it unless you are advised to by your doctor."
Halox ES Ointment,"EczemaEczema is a condition in which patches of skin swells and becomes dry, itchy, rough and red. Halox ES Ointment moisturizes the skin and helps reduce dryness and itchiness. It reduces swelling and redness at the affected area. Apply 1-2 times a day or as prescribed by your doctor. You might see an improvement in your skin after 2 to 3 weeks of treatment. PsoriasisPsoriasis is a skin problem in which skin cells build up and form scales and dry patches which are itchy and painful. Applying Halox ES Ointment helps manage psoriasis symptoms like itching, pain, redness, swelling or irritation. It moisturizes the skin and makes it soft and smooth. Clean and dry the affected area before applying Halox ES Ointment. Use it atleast 2-3 times a day or as prescribed. You may see change in your skin appearance after few weeks."
Koycal Syrup,"CoughKoycal Syrup suppresses cough and gives you relief from an itchy throat. Apart from this, it also reduces symptoms of allergy like watery eyes, sneezing and runny nose. Along with taking Koycal Syrup, gargling with warm salt water and having ginger or honey can help you manage cough."
Zepon PR Tablet,"Treatment of Anxiety disorderZepon PR Tablet stops your brain from releasing the chemicals that make you feel anxious so it can reduce the symptoms of excessive anxiety and worry. It can also reduce feelings of restlessness, tiredness, difficulty concentrating, feeling irritable and sleep problems that often come with Generalised Anxiety Disorder. Zepon PR Tablet will therefore help you go about your daily activities more easily and be more productive. Keep taking this medicine even if you feel well. Stopping suddenly can cause serious problems."
L-Cetra Plus Tablet,"Treatment of Sneezing and runny nose due to allergiesL-Cetra Plus Tablet is a combination medicine that provides relief from symptoms such as blocked or runny nose, sneezing and itchy or watery eyes. This will make it easier for you to go about your daily activities. It rarely has any serious side effects and you may only need to take it on days you have symptoms. If you are taking it to prevent getting symptoms you should use it regularly to get the most benefit.Treatment of Hay feverHay fever, also called allergic rhinitis, causes cold-like signs and symptoms, such as a runny nose, itchy eyes, congestion, sneezing and sinus pressure. The only difference is that in hay fever, these symptoms are not produced due to a virus but are simply allergic responses of our body to allergens (allergy causing agents such as pollen). L-Cetra Plus Tablet is used to provide relief from these symptoms of hay fever. It works by blocking the release of the chemical substance responsible for producing such allergy symptoms. L-Cetra Plus Tablet is a safe medicine which helps treat hay fever and makes us feel at ease.Treatment of Allergic skin conditionsL-Cetra Plus Tablet is effective in treating allergic skin conditions with inflammation and itching. It reduces the actions of chemicals in the body that cause inflammation of the skin. When used correctly it is a safe and effective treatment. It reduces the redness, rash, pain or itchiness caused by your skins reaction to an irritant. It thus improves your self-esteem and confidence as your appearance changes. Keep taking it for as long as it is prescribed to get the full benefits."
Fosmet Plus Injection,"Treatment of Nutritional deficienciesFosmet Plus Injection contains nutritional supplements that help the body perform various vital functions like the formation of red blood cells and absorption of iron in the body. It also helps your body use fats and carbohydrates for energy and make new protein. This combination contains other vitamins, which help strengthen the immune system, improve metabolism of the body, and aid in the proper functioning of the nervous system. Fosmet Plus Injection is given by a doctor or nurse and should not be self-administered. Taking it improves general health and enhances the quality of life."
Apropride 100mg Tablet,"SchizophreniaSchizophrenia is a mental disorder in which a persons thinking ability, feelings and behavior become abnormal. Apropride 100mg Tablet helps restore the chemical imbalances in the brain that are responsible for such changes. It improves thoughts, behavior and enhances the quality of life. Take it as prescribed by the doctor and follow your doctors instructions carefully."
Calcinase 60 Nasal Spray,"Post menopausal osteoporosisOsteoporosis is a common condition that weakens bones, making them fragile and more likely to break. It often occurs in women after menopause. This condition can be treated with bone-strengthening medicines. Calcinase 60 Nasal Spray slows down the rate at which bone is broken down in your body. This maintains bone density and reduces your risk of breaking a bone. Use it as advised by the doctor and follow your doctors instructions carefully.Paget's diseasePagets disease is a condition that disrupts the replacement of old bone tissue with new bone tissue. Calcinase 60 Nasal Spray decreases the bone degeneration and helps in regeneration of healthy bone tissue. You can help improve the strength of your bones by doing regular exercise (especially weight-bearing exercise), eating healthy foods containing calcium and Vitamin D and reducing your consumption of alcohol and tobacco. Supplements of calcium and Vitamin D3 are also effective."
Telin 40mg Tablet,"Treatment of Hypertension (high blood pressure)Telin 40mg Tablet relaxes the blood vessels so that blood can flow more easily around your body. This effectively lowers the blood pressure. It must be taken regularly as prescribed to be effective. You do not usually feel any direct benefit from taking this medicine, but it works in the long term to keep you well.Prevention of heart attack and strokeIf your blood pressure is controlled you are less at risk of having a heart attack or stroke. Telin 40mg Tablet reduces the chances of heart diseases and helps you remain healthier for longer. Take it regularly and make appropriate lifestyle changes, such as eating healthy and staying active, to maximize the effectiveness of this medicine.Treatment of Heart failureHeart failure means your heart cannot pump enough blood to your lungs and the rest of your body. The most common symptoms are breathlessness, tiredness, and swelling in your legs, ankles, abdomen, and other parts of your body. Telin 40mg Tablet is an effective treatment for heart failure. This medicine will help relieve your symptoms, making you feel better and more energetic. Take it regularly and keep taking it even if you feel better."
Megatas 50 Tablet ER,"Treatment of Overactive bladder (OAB) symptomsMegatas 50 Tablet ER helps to treat uncontrollable contractions (spasms) of the bladder muscles that cause frequent urination, urgent need to urinate, and inability to control the passing of urine. It also relieves painful, or frequent urination and reduces the urgency to urinate that may occur with some infections of the urinary tract. This way it helps manage the overactive bladder symptoms efficiently."
Aam SD 1000mg Tablet,"Bacterial & parasitic infectionsAam SD 1000mg Tablet helps treat many different infections such as those of the liver, stomach, intestines, vagina, brain, heart, lungs, bones, and skin that are caused by bacteria and parasites. It works by stopping the growth of the bacteria causing the infection. It usually makes you feel better quite quickly. However, you should continue taking it as long as it is prescribed even if you feel better, to make sure that all bacteria and parasites are killed and do not become resistant."
Amoxsyn CV 375 Tablet,"Treatment of Bacterial infectionsAmoxsyn CV 375 Tablet contains two different medicines, Amoxycillin and Clavulanic Acid, that work together to kill the bacteria that cause infections. Amoxycillin works by stopping the growth of bacteria. Clavulanic Acid reduces resistance and enhances the activity of Amoxycillin against bacteria.Amoxsyn CV 375 Tablet can be used to treat many different bacterial infections such as ear, sinus, throat, lung, urinary tract, skin, teeth, joints, and bones. It usually makes you feel better within a few days, but you should continue taking it as prescribed even when you feel better to make sure that all bacteria are killed and do not become resistant."
